2026-05-11T15:53:13.606+0700	INFO	livekit	server/main.go:210	starting in development mode
2026-05-11T15:53:13.607+0700	INFO	livekit	server/main.go:213	no keys provided, using placeholder keys	{"API Key": "devkey", "API Secret": "secret"}
2026-05-11T15:53:13.608+0700	INFO	livekit	routing/interfaces.go:180	using single-node routing
2026-05-11T15:53:13.610+0700	INFO	livekit	service/server.go:265	starting LiveKit server	{"portHttp": 7880, "nodeID": "ND_VANKS5F48CZ4", "nodeIP": "192.168.100.231", "version": "1.11.0", "bindAddresses": ["127.0.0.1", "::1"], "rtc.portTCP": 7881, "rtc.portUDP": {"Start":7882,"End":0}}
2026-05-11T15:53:13.610+0700	DEBUG	livekit	service/signal.go:119	starting relay signal server	{"topic": "ND_VANKS5F48CZ4"}
2026-05-11T16:04:45.448+0700	DEBUG	livekit	routing/signal.go:101	starting signal connection	{"room": "kiosk-room", "reqNodeID": "ND_VANKS5F48CZ4", "participant": "kimberly-agent", "connID": "CO_oCa87yEireCM", "participantInit": {"Identity": "kimberly-agent", "Reconnect": false, "ReconnectReason": "RR_UNKNOWN", "AutoSubscribe": true, "AutoSubscribeDataTrack": "not-set", "Client": {"sdk": "PYTHON", "version": "1.1.7", "protocol": 17, "os": "Mac OS", "osVersion": "15.0.1", "deviceModel": "MacBookPro17,1"}, "Grants": {"Identity": "kimberly-agent", "Kind": "", "KindDetails": [], "Video": {"RoomCreate": false, "RoomList": false, "RoomRecord": false, "RoomAdmin": false, "RoomJoin": true, "Room": "kiosk-room", "CanPublish": true, "CanSubscribe": true, "CanPublishData": true, "CanPublishSources": [], "CanUpdateOwnMetadata": "not-set", "IngressAdmin": false, "Hidden": false, "Recorder": false, "Agent": false, "CanSubscribeMetrics": "not-set", "DestinationRoom": ""}, "SIP": {}, "Agent": {}, "Inference": {}, "Observability": {}, "RoomConfig": {}, "RoomPreset": ""}, "Region": "", "AdaptiveStream": false, "ID": "", "SubscriberAllowPause": "not-set", "DisableICELite": false, "CreateRoom": {"name": "kiosk-room"}, "AddTrackRequests": [], "PublisherOffer": {}, "SyncState": {}, "UseSinglePeerConnection": false}, "startSession": {"roomName": "kiosk-room", "identity": "kimberly-agent", "connectionID": "CO_oCa87yEireCM", "autoSubscribe": true, "client": {"sdk": "PYTHON", "version": "1.1.7", "protocol": 17, "os": "Mac OS", "osVersion": "15.0.1", "deviceModel": "MacBookPro17,1", "address": "::1"}, "name": "Kimberly", "grantsJson": "{\"identity\":\"kimberly-agent\",\"name\":\"Kimberly\",\"video\":{\"roomJoin\":true,\"room\":\"kiosk-room\",\"canPublish\":true,\"canSubscribe\":true,\"canPublishData\":true}}", "reconnectReason": "RR_UNKNOWN", "createRoom": {"name": "kiosk-room"}}}
2026-05-11T16:04:45.459+0700	INFO	livekit	service/roommanager.go:415	starting RTC session	{"room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "remote": false, "room": "kiosk-room", "nodeID": "ND_VANKS5F48CZ4", "numParticipants": 0, "participantInit": {"Identity": "kimberly-agent", "Reconnect": false, "ReconnectReason": "RR_UNKNOWN", "AutoSubscribe": true, "AutoSubscribeDataTrack": "not-set", "Client": {"sdk": "PYTHON", "version": "1.1.7", "protocol": 17, "os": "Mac OS", "osVersion": "15.0.1", "deviceModel": "MacBookPro17,1"}, "Grants": {"Identity": "kimberly-agent", "Kind": "", "KindDetails": [], "Video": {"RoomCreate": false, "RoomList": false, "RoomRecord": false, "RoomAdmin": false, "RoomJoin": true, "Room": "kiosk-room", "CanPublish": true, "CanSubscribe": true, "CanPublishData": true, "CanPublishSources": [], "CanUpdateOwnMetadata": "not-set", "IngressAdmin": false, "Hidden": false, "Recorder": false, "Agent": false, "CanSubscribeMetrics": "not-set", "DestinationRoom": ""}, "SIP": {}, "Agent": {}, "Inference": {}, "Observability": {}, "RoomConfig": {}, "RoomPreset": ""}, "Region": "", "AdaptiveStream": false, "ID": "", "SubscriberAllowPause": "not-set", "DisableICELite": false, "CreateRoom": {"name": "kiosk-room"}, "AddTrackRequests": [], "PublisherOffer": {}, "SyncState": {}, "UseSinglePeerConnection": false}}
2026-05-11T16:04:45.462+0700	DEBUG	livekit	rtc/participant.go:3861	setup enabled codecs	{"room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "remote": false, "publish": [{"mime": "video/VP8"}, {"mime": "video/H264"}, {"mime": "video/VP9"}, {"mime": "video/AV1"}, {"mime": "video/H265"}, {"mime": "video/rtx"}, {"mime": "audio/PCMU"}, {"mime": "audio/PCMA"}, {"mime": "audio/opus"}, {"mime": "audio/red"}], "subscribe": [{"mime": "audio/PCMU"}, {"mime": "audio/PCMA"}, {"mime": "audio/opus"}, {"mime": "audio/red"}, {"mime": "video/VP8"}, {"mime": "video/H264"}, {"mime": "video/VP9"}, {"mime": "video/AV1"}, {"mime": "video/H265"}, {"mime": "video/rtx"}], "disabled": {}}
2026-05-11T16:04:45.471+0700	DEBUG	livekit.room	rtc/room.go:474	new participant joined	{"room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participantID": "PA_KkbvcWhjTxyM", "participant": "kimberly-agent", "clientInfo": {"sdk": "PYTHON", "version": "1.1.7", "protocol": 17, "os": "Mac OS", "osVersion": "15.0.1", "deviceModel": "MacBookPro17,1", "address": "::1"}, "options": {"AutoSubscribe":true,"AutoSubscribeDataTrack":false}, "numParticipants": 0}
2026-05-11T16:04:45.471+0700	DEBUG	livekit	signalling/signallerasync.go:111	sent signal response	{"room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "remote": false, "response": {"join": {"room": {"sid": "RM_mBcbQSaWAoNY", "name": "kiosk-room", "emptyTimeout": 300, "departureTimeout": 20, "creationTime": 1778490285, "creationTimeMs": 1778490285455, "turnPassword": "euw49Fwhpqv9LRFGefCsK8OCa4ZThhUIoFVAGcLBVxIA", "enabledCodecs": [{"mime": "audio/PCMU"}, {"mime": "audio/PCMA"}, {"mime": "audio/opus"}, {"mime": "audio/red"}, {"mime": "video/VP8"}, {"mime": "video/H264"}, {"mime": "video/VP9"}, {"mime": "video/AV1"}, {"mime": "video/H265"}, {"mime": "video/rtx"}]}, "participant": {"sid": "PA_KkbvcWhjTxyM", "identity": "kimberly-agent", "state": "JOINING", "joinedAt": 1778490285, "joinedAtMs": 1778490285461, "name": "<redacted>", "permission": {"canSubscribe": true, "canPublish": true, "canPublishData": true}, "kind": "STANDARD", "disconnectReason": "UNKNOWN_REASON"}, "serverVersion": "1.11.0", "iceServers": [{"urls": ["stun:global.stun.twilio.com:3478", "stun:stun.l.google.com:19302", "stun:stun1.l.google.com:19302"]}], "subscriberPrimary": true, "pingTimeout": 15, "pingInterval": 5, "serverInfo": {"edition": "Standard", "version": "1.11.0", "protocol": 17, "nodeID": "ND_VANKS5F48CZ4", "agentProtocol": 1}, "sifTrailer": "djVXMmFaOEI3VFFDcWcyMFBsRDBZRk94SGE3Z05lM3lBak40QjFBZkpxbg", "enabledPublishCodecs": [{"mime": "video/VP8"}, {"mime": "video/H264"}, {"mime": "video/VP9"}, {"mime": "video/AV1"}, {"mime": "video/H265"}, {"mime": "audio/PCMU"}, {"mime": "audio/PCMA"}, {"mime": "audio/opus"}, {"mime": "audio/red"}], "fastPublish": true}}}
2026-05-11T16:04:45.472+0700	DEBUG	livekit	rtc/participant.go:2139	updating participant state	{"room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "remote": false, "state": "JOINED"}
2026-05-11T16:04:45.472+0700	DEBUG	livekit	rtc/participant.go:1583	SetMigrateState	{"room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "remote": false, "state": "MIGRATE_STATE_COMPLETE"}
2026-05-11T16:04:45.432+0700	DEBUG	livekit	service/rtcservice.go:373	join request validated	{"room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "joinDuration": "46.543875ms", "room": "kiosk-room", "roomID": "", "participant": "kimberly-agent", "participantID": "", "joinDuration": "0s", "participantInit": {"Identity": "kimberly-agent", "Reconnect": false, "ReconnectReason": "RR_UNKNOWN", "AutoSubscribe": true, "AutoSubscribeDataTrack": "not-set", "Client": {"sdk": "PYTHON", "version": "1.1.7", "protocol": 17, "os": "Mac OS", "osVersion": "15.0.1", "deviceModel": "MacBookPro17,1"}, "Grants": {"Identity": "kimberly-agent", "Kind": "", "KindDetails": [], "Video": {"RoomCreate": false, "RoomList": false, "RoomRecord": false, "RoomAdmin": false, "RoomJoin": true, "Room": "kiosk-room", "CanPublish": true, "CanSubscribe": true, "CanPublishData": true, "CanPublishSources": [], "CanUpdateOwnMetadata": "not-set", "IngressAdmin": false, "Hidden": false, "Recorder": false, "Agent": false, "CanSubscribeMetrics": "not-set", "DestinationRoom": ""}, "SIP": {}, "Agent": {}, "Inference": {}, "Observability": {}, "RoomConfig": {}, "RoomPreset": ""}, "Region": "", "AdaptiveStream": false, "ID": "PA_KkbvcWhjTxyM", "SubscriberAllowPause": "not-set", "DisableICELite": false, "CreateRoom": {"name": "kiosk-room"}, "AddTrackRequests": [], "PublisherOffer": {}, "SyncState": {}, "UseSinglePeerConnection": false}}
2026-05-11T16:04:45.473+0700	DEBUG	livekit	signalling/signallerasync.go:111	sent signal response	{"room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "remote": false, "response": {"refreshToken": "eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3Nzg0OTA4ODUsImlkZW50aXR5Ijoia2ltYmVybHktYWdlbnQiLCJpc3MiOiJkZXZrZXkiLCJraW5kIjoic3RhbmRhcmQiLCJuYW1lIjoiS2ltYmVybHkiLCJuYmYiOjE3Nzg0OTAyODUsInN1YiI6ImtpbWJlcmx5LWFnZW50IiwidmlkZW8iOnsiY2FuUHVibGlzaCI6dHJ1ZSwiY2FuUHVibGlzaERhdGEiOnRydWUsImNhblN1YnNjcmliZSI6dHJ1ZSwicm9vbSI6Imtpb3NrLXJvb20iLCJyb29tSm9pbiI6dHJ1ZX19.VWixQOR0F8SfrdAx3anjS7FRPq4uOaIyOI1ha71fftU"}}
2026-05-11T16:04:45.473+0700	DEBUG	livekit	service/rtcservice.go:460	sending initial response	{"connID": "CO_oCa87yEireCM", "response": {"join": {"room": {"sid": "RM_mBcbQSaWAoNY", "name": "kiosk-room", "emptyTimeout": 300, "departureTimeout": 20, "creationTime": 1778490285, "creationTimeMs": 1778490285455, "turnPassword": "euw49Fwhpqv9LRFGefCsK8OCa4ZThhUIoFVAGcLBVxIA", "enabledCodecs": [{"mime": "audio/PCMU"}, {"mime": "audio/PCMA"}, {"mime": "audio/opus"}, {"mime": "audio/red"}, {"mime": "video/VP8"}, {"mime": "video/H264"}, {"mime": "video/VP9"}, {"mime": "video/AV1"}, {"mime": "video/H265"}, {"mime": "video/rtx"}]}, "participant": {"sid": "PA_KkbvcWhjTxyM", "identity": "kimberly-agent", "state": "JOINING", "joinedAt": 1778490285, "joinedAtMs": 1778490285461, "name": "<redacted>", "permission": {"canSubscribe": true, "canPublish": true, "canPublishData": true}, "kind": "STANDARD", "disconnectReason": "UNKNOWN_REASON"}, "serverVersion": "1.11.0", "iceServers": [{"urls": ["stun:global.stun.twilio.com:3478", "stun:stun.l.google.com:19302", "stun:stun1.l.google.com:19302"]}], "subscriberPrimary": true, "pingTimeout": 15, "pingInterval": 5, "serverInfo": {"edition": "Standard", "version": "1.11.0", "protocol": 17, "nodeID": "ND_VANKS5F48CZ4", "agentProtocol": 1}, "sifTrailer": "djVXMmFaOEI3VFFDcWcyMFBsRDBZRk94SGE3Z05lM3lBak40QjFBZkpxbg", "enabledPublishCodecs": [{"mime": "video/VP8"}, {"mime": "video/H264"}, {"mime": "video/VP9"}, {"mime": "video/AV1"}, {"mime": "video/H265"}, {"mime": "audio/PCMU"}, {"mime": "audio/PCMA"}, {"mime": "audio/opus"}, {"mime": "audio/red"}], "fastPublish": true}}, "room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "joinDuration": "46.543875ms"}
2026-05-11T16:04:45.473+0700	DEBUG	livekit	service/rtcservice.go:469	new client WS connected	{"connID": "CO_oCa87yEireCM", "reconnect": false, "reconnectReason": "RR_UNKNOWN", "adaptiveStream": false, "selectedNodeID": "ND_VANKS5F48CZ4", "nodeSelectionReason": "", "room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "joinDuration": "46.543875ms"}
2026-05-11T16:04:45.473+0700	DEBUG	livekit	service/rtcservice.go:553	sending signal response	{"connID": "CO_oCa87yEireCM", "response": {"RefreshToken":"eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJleHAiOjE3Nzg0OTA4ODUsImlkZW50aXR5Ijoia2ltYmVybHktYWdlbnQiLCJpc3MiOiJkZXZrZXkiLCJraW5kIjoic3RhbmRhcmQiLCJuYW1lIjoiS2ltYmVybHkiLCJuYmYiOjE3Nzg0OTAyODUsInN1YiI6ImtpbWJlcmx5LWFnZW50IiwidmlkZW8iOnsiY2FuUHVibGlzaCI6dHJ1ZSwiY2FuUHVibGlzaERhdGEiOnRydWUsImNhblN1YnNjcmliZSI6dHJ1ZSwicm9vbSI6Imtpb3NrLXJvb20iLCJyb29tSm9pbiI6dHJ1ZX19.VWixQOR0F8SfrdAx3anjS7FRPq4uOaIyOI1ha71fftU"}, "room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "joinDuration": "46.543875ms"}
2026-05-11T16:04:45.476+0700	DEBUG	livekit	service/rtcservice.go:613	received signal request	{"connID": "CO_oCa87yEireCM", "request": {"PingReq":{"timestamp":1778490285476}}, "room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "joinDuration": "46.543875ms"}
2026-05-11T16:04:45.476+0700	DEBUG	livekit	signalling/signalhandler.go:55	handling signal request	{"room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "remote": false, "request": {"pingReq": {"timestamp": 1778490285476}}}
2026-05-11T16:04:45.477+0700	DEBUG	livekit	service/rtcservice.go:609	received offer	{"connID": "CO_oCa87yEireCM", "offer": {"Offer":{"type":"offer","sdp":"v=0\r\no=- 5911772117751980429 2 IN IP4 127.0.0.1\r\ns=-\r\nt=0 0\r\na=group:BUNDLE 0\r\na=extmap-allow-mixed\r\na=msid-semantic: WMS\r\nm=application 9 UDP/DTLS/SCTP webrtc-datachannel\r\nc=IN IP4 0.0.0.0\r\na=ice-ufrag:F1Q4\r\na=ice-pwd:SNdXRqE8DXBMoqOkKiChFM9z\r\na=ice-options:trickle\r\na=fingerprint:sha-256 F3:C0:22:96:B6:28:DC:DC:B5:C5:82:72:CD:42:8D:35:6D:65:A8:78:0D:87:E7:7C:3A:71:59:3E:3D:81:C2:5F\r\na=setup:actpass\r\na=mid:0\r\na=sctp-port:5000\r\na=max-message-size:262144\r\n"}}, "room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "joinDuration": "46.543875ms"}
2026-05-11T16:04:45.477+0700	DEBUG	livekit.transport	rtc/transport.go:804	ice gathering state change	{"room": "kiosk-room", "roomID": "RM_mBcbQSaWAoNY", "participant": "kimberly-agent", "participantID": "PA_KkbvcWhjTxyM", "remote": false, "transport": "SUBSCRIBER", "state": "gathering"}
